Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
12052-PUN,Female,33,No,Punjab,11,31,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,115,7396.15,0,0,2972.16,10368.31,Stayed,Others,Others
12069-UTT,Female,30,Yes,Uttar Pradesh,10,14,Deal 4,Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.65,683.25,0,0,232.54,915.79,Stayed,Others,Others
12079-MAH,Female,73,Yes,Maharashtra,2,4,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.9,260.9,0,0,8.94,269.84,Churned,Price,Price too high
12112-MAD,Female,27,No,Madhya Pradesh,14,4,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.45,150.75,0,0,40.88,191.63,Stayed,Others,Others
12118-TAM,Female,23,No,Tamil Nadu,7,3,Deal 2,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,85.55,5084.65,0,0,407.69,5492.34,Churned,Competitor,Competitor offered more data
12149-JAM,Female,66,Yes,Jammu & Kashmir,7,26,Deal 5,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.5,453.75,0,0,184.4,638.15,Churned,Competitor,Competitor made better offer
12170-AND,Female,38,Yes,Andhra Pradesh,15,2,Deal 4,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,Yes,No,No,No,One Year,No,Mailed Check,77.5,1625,18.39,80,368.97,2055.58,Churned,Other,Don't know
12193-KER,Male,56,Yes,Kerala,15,4,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,109.15,6557.75,0,0,2387.73,8945.48,Stayed,Others,Others
12210-AND,Male,66,No,Andhra Pradesh,9,31,None,No,No,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,34.3,577.15,0,0,0,577.15,Stayed,Others,Others
12210-DEL,Female,52,No,Delhi,0,31,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,224.5,0,0,231.36,455.86,Stayed,Others,Others
12225-TAM,Female,25,No,Tamil Nadu,13,14,Deal 1,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,85.25,5714.2,1.31,0,583.57,6296.46,Stayed,Others,Others
12236-BIH,Female,34,Yes,Bihar,5,11,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,85.3,420.45,0,10,228.7,659.15,Stayed,Others,Others
12255-KER,Female,54,Yes,Kerala,8,2,Deal 1,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.35,1359.5,0,0,2971.98,4331.48,Stayed,Others,Others
12266-HAR,Female,46,No,Haryana,2,5,None,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,79.65,3870.3,0,0,429.12,4299.42,Stayed,Others,Others
12272-WES,Male,66,No,West Bengal,9,8,None,No,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,No,Two Year,No,Credit Card,39.1,1982.1,0,130,0,2112.1,Stayed,Others,Others
12281-RAJ,Male,80,No,Rajasthan,14,25,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,78.1,864.85,0,0,194.26,1059.11,Stayed,Others,Others
12296-MAD,Male,65,Yes,Madhya Pradesh,14,2,None,No,No,Yes,Cable,Yes,No,Yes,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,45,1228.65,0,0,0,1228.65,Stayed,Others,Others
12303-BIH,Female,56,No,Bihar,7,14,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,88.55,6362.35,0,0,3319.2,9681.55,Stayed,Others,Others
12305-AND,Male,28,Yes,Andhra Pradesh,13,22,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.35,422.7,0,0,473.13,895.83,Stayed,Others,Others
12337-MAH,Male,28,No,Maharashtra,11,8,Deal 4,Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,58.6,939.7,0,0,221.85,1161.55,Churned,Dissatisfaction,Service dissatisfaction
12341-HAR,Female,38,No,Haryana,9,29,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.05,1799.3,0,0,252.12,2051.42,Stayed,Others,Others
12882-PUN,Female,35,No,Punjab,10,13,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.4,1797.1,0,0,298.8,2095.9,Stayed,Others,Others
12927-JAM,Male,24,No,Jammu & Kashmir,0,12,Deal 4,Yes,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,44,659.35,0,0,346.19,1005.54,Stayed,Others,Others
12929-MAH,Female,31,Yes,Maharashtra,1,29,None,No,No,Yes,Cable,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,31.2,926.2,0,0,0,926.2,Stayed,Others,Others
12929-RAJ,Female,30,Yes,Rajasthan,7,10,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.6,1334.5,0,0,1202.24,2536.74,Stayed,Others,Others
12955-MAH,Female,38,Yes,Maharashtra,6,36,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,119.3,0,0,38.88,158.18,Stayed,Others,Others
12987-JAM,Male,30,No,Jammu & Kashmir,11,3,None,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,One Year,No,Credit Card,44.6,681.4,0,0,221.34,902.74,Stayed,Others,Others
12999-BIH,Female,52,No,Bihar,5,34,Deal 4,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0,0,599.28,1751.98,Churned,Attitude,Attitude of service provider
13208-HAR,Female,60,Yes,Haryana,8,20,Deal 2,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,90.25,3838.75,0,0,540.94,4379.69,Stayed,Others,Others
13281-GUJ,Female,25,No,Gujarat,8,2,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,107.7,7919.8,0,0,3019.68,10939.48,Stayed,Others,Others
13300-KAR,Female,52,No,Karnataka,2,11,Deal 1,No,No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,54.2,3937.45,0,0,0,3937.45,Churned,Competitor,Competitor offered more data
13304-KER,Female,33,No,Kerala,5,25,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.25,1732.95,0,0,582.91,2315.86,Stayed,Others,Others
13305-RAJ,Female,26,Yes,Rajasthan,14,26,Deal 2,No,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,50.7,3088.75,0,20,0,3108.75,Stayed,Others,Others
13305-WES,Female,71,No,West Bengal,0,21,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,108.1,7181.95,0,0,458.04,7639.99,Stayed,Others,Others
13318-AND,Male,45,No,Andhra Pradesh,11,25,Deal 5,No,No,Yes,DSL,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,31.35,31.35,0,80,0,111.35,Churned,Attitude,Attitude of service provider
13319-MAD,Female,79,Yes,Madhya Pradesh,10,8,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,99.4,7168.25,0,0,870.46,8038.71,Stayed,Others,Others
13323-BIH,Female,59,Yes,Bihar,5,31,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.35,295.55,0,0,655.2,950.75,Stayed,Others,Others
13339-KAR,Female,33,Yes,Karnataka,15,20,Deal 2,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,49.7,2961.4,0,0,2613.85,5575.25,Stayed,Others,Others
13361-UTT,Female,59,No,Uttar Pradesh,10,6,Deal 4,Yes,No,Yes,DSL,No,No,Yes,Yes,No,No,No,No,One Year,No,Credit Card,55.2,864.55,0,80,24.45,969,Stayed,Others,Others
13373-TAM,Female,26,Yes,Tamil Nadu,1,31,Deal 1,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.8,1521.2,0,0,1686.96,3208.16,Stayed,Others,Others
13380-JAM,Male,52,No,Jammu & Kashmir,3,8,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-1,1373.05,15.57,0,483.12,1840.6,Stayed,Others,Others
13399-HAR,Female,65,No,Haryana,11,18,None,No,No,Yes,Cable,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.8,2104.55,0,0,0,2104.55,Stayed,Others,Others
13429-MAH,Female,47,No,Maharashtra,0,14,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,94.6,5948.7,0,0,81.28,6029.98,Stayed,Others,Others
13429-WES,Female,48,No,West Bengal,12,11,Deal 1,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.2,5986.55,0,0,2724.48,8711.03,Stayed,Others,Others
13442-TAM,Female,59,Yes,Tamil Nadu,13,8,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.45,5623.7,0,30,2325.78,7979.48,Stayed,Others,Others
14030-UTT,Female,24,No,Uttar Pradesh,0,6,None,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,No,Credit Card,56.8,3112.05,0,0,129.8,3241.85,Stayed,Others,Others
14048-TEL,Male,50,No,Telangana,15,9,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.7,1379.8,0,0,3458.88,4838.68,Stayed,Others,Others
14078-MAH,Female,28,Yes,Maharashtra,6,18,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,63.75,0,0,77.25,141,Churned,Price,Long distance charges
14087-UTT,Female,77,No,Uttar Pradesh,2,17,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,One Year,No,Credit Card,89,1288.3,45.69,0,25.05,1267.66,Stayed,Others,Others
14094-AND,Male,59,No,Andhra Pradesh,7,6,Deal 4,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Credit Card,18.8,279.2,0,0,326.23,605.43,Stayed,Others,Others
14158-MAH,Male,60,No,Maharashtra,9,33,None,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.25,58.9,0,0,0,58.9,Churned,Competitor,Competitor had better devices
14178-MAH,Male,82,Yes,Maharashtra,0,7,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.5,3436.1,0,0,597.96,4034.06,Churned,Price,Lack of affordable download/upload speed
14214-KAR,Female,62,Yes,Karnataka,1,10,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.25,186.15,0,0,23.4,209.55,Stayed,Others,Others
14237-BIH,Male,83,Yes,Bihar,7,2,Deal 1,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.45,1789.65,0,0,2644.75,4434.4,Stayed,Others,Others
14244-MAD,Female,32,Yes,Madhya Pradesh,9,21,Deal 2,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,80.3,4896.35,0,40,1189.44,6125.79,Stayed,Others,Others
14262-AND,Male,27,Yes,Andhra Pradesh,9,9,Deal 2,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,79.95,4362.05,0,0,2521.8,6883.85,Stayed,Others,Others
14268-UTT,Male,68,Yes,Uttar Pradesh,7,18,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86,86,0,0,28.82,114.82,Churned,Competitor,Competitor made better offer
14277-GUJ,Female,33,Yes,Gujarat,14,1,None,Yes,No,Yes,Cable,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,88.9,454.15,0,0,207.85,662,Churned,Competitor,Competitor offered higher download speeds
14277-WES,Male,75,No,West Bengal,15,18,Deal 4,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Mailed Check,69.75,1545.4,0,0,1099.56,2644.96,Stayed,Others,Others
14291-PUN,Female,40,No,Punjab,6,33,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,44.4,44.4,0,0,32.44,76.84,Churned,Competitor,Competitor had better devices
14301-HAR,Female,38,Yes,Haryana,3,15,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.6,4594.95,0,0,205.41,4800.36,Churned,Price,Extra data charges
14311-UTT,Male,52,Yes,Uttar Pradesh,13,32,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25,300.7,0,0,165.44,466.14,Stayed,Others,Others
14319-TAM,Male,69,Yes,Tamil Nadu,13,15,Deal 5,Yes,No,Yes,Cable,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,55.8,55.8,0,0,26.22,82.02,Churned,Dissatisfaction,Service dissatisfaction
14579-KAR,Male,25,No,Karnataka,2,28,Deal 2,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1725,0,0,1327.95,3052.95,Stayed,Others,Others
14583-DEL,Female,33,Yes,Delhi,6,24,Deal 4,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.65,1244.5,0,0,221.26,1465.76,Churned,Competitor,Competitor made better offer
14600-ASS,Female,51,Yes,Assam,2,30,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.5,79.05,0,0,178.92,257.97,Stayed,Others,Others
14610-CHH,Female,56,No,Chhattisgarh,0,25,Deal 4,Yes,No,Yes,Cable,No,No,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,49.45,1119.35,0,0,594.55,1713.9,Stayed,Others,Others
14613-ODI,Male,78,No,Odisha,10,26,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.95,8196.4,0,0,1539.36,9735.76,Stayed,Others,Others
14622-PUN,Female,49,Yes,Punjab,9,15,None,No,No,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,34.25,163.55,0,0,0,163.55,Stayed,Others,Others
14646-UTT,Male,83,Yes,Uttar Pradesh,14,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.85,183.15,0,0,205.11,388.26,Stayed,Others,Others
14653-PUN,Female,24,No,Punjab,11,9,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20,185.4,0,0,393.9,579.3,Stayed,Others,Others
14654-MAH,Female,66,Yes,Maharashtra,2,9,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.55,622.9,33.25,0,158.04,747.69,Churned,Competitor,Competitor had better devices
14658-RAJ,Female,65,No,Rajasthan,12,24,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.55,1329.15,0,0,384.37,1713.52,Stayed,Others,Others
14668-MAH,Female,31,No,Maharashtra,1,10,Deal 4,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,59.45,780.85,0,0,596.96,1377.81,Stayed,Others,Others
14676-TAM,Male,40,No,Tamil Nadu,9,35,Deal 2,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,86.1,4890.5,0,110,1284.12,6284.62,Stayed,Others,Others
14698-PUN,Male,25,No,Punjab,4,13,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.9,89.9,0,0,32.85,122.75,Churned,Other,Don't know
14706-TAM,Female,53,No,Tamil Nadu,13,13,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.95,529.5,0,0,247.94,777.44,Churned,Dissatisfaction,Poor expertise of online support
14730-UTT,Male,46,Yes,Uttar Pradesh,10,3,Deal 4,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,26.25,605.9,0,0,116.16,722.06,Stayed,Others,Others
15066-HAR,Female,43,No,Haryana,15,9,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,84.8,6152.4,0,0,2390.57,8542.97,Stayed,Others,Others
15082-GUJ,Female,26,No,Gujarat,0,25,None,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,One Year,Yes,Credit Card,81.45,4983.05,14.15,0,2459.54,7428.44,Stayed,Others,Others
15091-MAD,Male,63,Yes,Madhya Pradesh,9,26,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.9,1777.9,0,0,622.63,2400.53,Churned,Competitor,Competitor had better devices
15115-WES,Male,37,Yes,West Bengal,0,15,None,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,-10,6094.25,3.2,0,872.64,6963.69,Stayed,Others,Others
15116-PUN,Male,21,No,Punjab,6,10,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.25,174.7,0,0,348.81,523.51,Stayed,Others,Others
15121-UTT,Male,52,No,Uttar Pradesh,3,3,Deal 5,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,24.25,96.05,0,0,0,96.05,Churned,Competitor,Competitor made better offer
15132-GUJ,Female,22,Yes,Gujarat,10,1,None,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,70.45,4300.45,0,0,2265.48,6565.93,Stayed,Others,Others
15154-MAD,Female,27,Yes,Madhya Pradesh,7,11,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,759.55,0,0,177.12,936.67,Stayed,Others,Others
15175-GUJ,Female,53,Yes,Gujarat,14,27,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,1743.05,0,0,202.92,1945.97,Stayed,Others,Others
15205-TEL,Female,71,Yes,Telangana,3,10,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,-5,4747.2,0,140,140.06,5027.26,Stayed,Others,Others
15291-JHA,Male,37,No,Jharkhand,6,2,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.55,1067.65,0,0,2345.5,3413.15,Stayed,Others,Others
15302-TAM,Female,44,Yes,Tamil Nadu,1,33,Deal 5,No,No,Yes,Cable,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,50.95,307.6,0,0,0,307.6,Stayed,Others,Others
15340-TEL,Female,73,No,Telangana,12,9,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.2,1217.25,0,0,181.2,1398.45,Churned,Competitor,Competitor offered higher download speeds
15358-WES,Male,26,Yes,West Bengal,2,3,None,No,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,54.3,2317.1,0,10,0,2327.1,Stayed,Others,Others
15363-WES,Male,58,No,West Bengal,9,8,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79,303.15,0,0,110.28,413.43,Churned,Dissatisfaction,Limited range of services
